begin,end,participant,utterance,source,utterance_raw,language,corpus,duration,uid,nature,utterance_stripped,nwords,nchar,n,rank,freq,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc
118909,121212,spreker2 [v] (TIE2),hè maar kruislaan is toch niet zo ver weg of wel,/dutch2/DVA10O,hè maar kruislaan is toch niet zo ver weg of wel,dutch,dutch2,2303.0000000000146,dutch-01-060-118909,talk,hè maar kruislaan is toch niet zo ver weg of wel,11,48,1,205,1.5556098217596995e-10,NA,other,264.99999999998545,NA,10155,0.226784835056622,0.869062901155327,1,6,0.166666666666667,2,99,68
121994,124681,spreker1 [v] (TIE0),nou het is toch wel best ver lopen,/dutch2/DVA10O,nou het is toch wel best ver lopen,dutch,dutch2,2687,dutch-01-061-121994,talk,nou het is toch wel best ver lopen,8,34,1,205,1.5556098217596995e-10,NA,other,782,overlapped,9969,0.768983849934798,0.845188639253921,2,5,0.8,2,99,68
123588,125112,spreker2 [v] (TIE2),ik weet niet precies waar 't is hoor,/dutch2/DVA10O,ik weet niet precies waar 't is hoor,dutch,dutch2,1524,dutch-01-062-123588,talk,ik weet niet precies waar 't is hoor,8,36,1,205,1.5556098217596995e-10,partial,other,-1093,NA,9934,0.385242601167707,0.96935987509758,3,5,0.4,2,99,68
125158,126705,spreker1 [v] (TIE0),het is bij de jaap edenbaan weet je wel,/dutch2/DVA10O,het is bij de jaap edenbaan weet je wel,dutch,dutch2,1547,dutch-01-063-125158,talk,het is bij de jaap edenbaan weet je wel,9,39,1,205,1.5556098217596995e-10,NA,other,46,overlapped,11004,0.652217375499818,1,4,5,0.6,2,99,68
126612,128335,spreker2 [v] (TIE2),oh [laugh],/dutch2/DVA10O,oh ggg,dutch,dutch2,1723.0000000000146,dutch-01-064-126612,talk,oh,1,2,6948,5,1.0808377041586394e-6,partial,other,-93,overlapped,9784,0.567252657399836,1.03798005516656,4,5,0.6,2,14,88
127405,130394,spreker1 [v] (TIE0),'t is niet zo heel ver weg maar het is 't is niet prettig zeg maar,/dutch2/DVA10O,'t is niet zo heel ver weg maar het is 't is niet prettig zeg maar,dutch,dutch2,2989,dutch-01-065-127405,talk,'t is niet zo heel ver weg maar het is 't is niet prettig zeg maar,16,66,1,205,1.5556098217596995e-10,partial,other,-930.0000000000146,NA,12773,0.56548970484616,1.11214627775359,5,6,0.5,2,99,68
131296,132727,spreker1 [v] (TIE0),maar 't was wel iets van één uur of zo,/dutch2/DVA10O,maar 't was wel iets van één uur of zo,dutch,dutch2,1431,dutch-01-066-131296,talk,maar 't was wel iets van één uur of zo,10,38,1,205,1.5556098217596995e-10,NA,self,NA,NA,11901,0.727165784387867,1.1088232553806,4,6,0.666666666666667,2,99,68
132808,134692,spreker1 [v] (TIE0),dus ik dacht oh weet je ik stap bij kruislaan uit,/dutch2/DVA10O,dus ik dacht oh weet je ik stap bij kruislaan uit,dutch,dutch2,1884,dutch-01-067-132808,talk,dus ik dacht oh weet je ik stap bij kruislaan uit,11,49,1,205,1.5556098217596995e-10,NA,self,NA,NA,11098,0.707424761218237,0.999459654178674,3,6,0.666666666666667,2,99,68
134692,136286,spreker1 [v] (TIE0),en ik pak de met*a of de nachtbus,/dutch2/DVA10O,en ik pak de met*a of de nachtbus,dutch,dutch2,1594,dutch-01-068-134692,talk,en ik pak de met*a of de nachtbus,8,33,1,205,1.5556098217596995e-10,NA,self,NA,NA,11168,0.845719914040115,1.00359453630482,2,6,0.833333333333333,2,99,68
137093,138978.99999999997,spreker1 [v] (TIE0),dus ik loop d'r naartoe echt heel erg kwaad,/dutch2/DVA10O,dus ik loop d'r naartoe echt heel erg kwaad,dutch,dutch2,1885.999999999971,dutch-01-069-137093,talk,dus ik loop d'r naartoe echt heel erg kwaad,9,43,1,205,1.5556098217596995e-10,NA,self,NA,NA,9783,1,0.845256609642302,0,5,1,1,99,68
138978.99999999997,140710,spreker1 [v] (TIE0),en ik had m'n hakken aan dus ik kon lekker hard stampen,/dutch2/DVA10O,en ik had m'n hakken aan dus ik kon lekker hard stampen,dutch,dutch2,1731.000000000029,dutch-01-070-138979,talk,en ik had m'n hakken aan dus ik kon lekker hard stampen,12,55,1,205,1.5556098217596995e-10,NA,self,NA,NA,8525,1,0.905566178032717,0,5,1,1,99,68
140846,141346,spreker2 [v] (TIE2),[laugh],/dutch2/DVA10O,ggg,dutch,dutch2,500,dutch-01-071-140846,laugh,NA,NA,NA,NA,NA,NA,NA,other,136,NA,9025,0.0554016620498615,0.898009950248756,1,6,0.166666666666667,2,NA,NA
141521.00000000003,142440,spreker1 [v] (TIE0),en toen uhm,/dutch2/DVA10O,en toen uhm,dutch,dutch2,918.9999999999708,dutch-01-072-141521,talk,en toen uhm,3,11,29,177,4.5112684831031306e-9,NA,other,175.0000000000291,NA,8512,0.941259398496241,0.883720930232558,2,6,0.833333333333333,2,25,76
142719,144138,spreker1 [v] (TIE0),was ik met m'n moeder aan de telefoon,/dutch2/DVA10O,was ik met m'n moeder aan de telefoon,dutch,dutch2,1419,dutch-01-073-142719,talk,was ik met m'n moeder aan de telefoon,8,37,1,205,1.5556098217596995e-10,NA,self,NA,NA,9931,0.949652602960427,0.876522506619594,2,7,0.857142857142857,2,99,68
144525,146968,spreker1 [v] (TIE0),want ik had 'r gesms't*n van ja godverdomme ik slaap wel,/dutch2/DVA10O,want ik had 'r gesms't*n van ja godverdomme ik slaap wel,dutch,dutch2,2443,dutch-01-074-144525,talk,want ik had 'r gesms't*n van ja godverdomme ik slaap wel,11,56,1,205,1.5556098217596995e-10,NA,self,NA,NA,10490,0.952335557673975,0.854512870641903,2,7,0.857142857142857,2,99,68
146968,148992,spreker1 [v] (TIE0),ergens want ik uhm ben gestrand,/dutch2/DVA10O,ergens want ik uhm ben gestrand,dutch,dutch2,2024,dutch-01-075-146968,talk,ergens want ik uhm ben gestrand,6,31,1,205,1.5556098217596995e-10,NA,self,NA,NA,10920,0.954212454212454,0.917724178502395,2,7,0.857142857142857,2,99,68
149419,150350,spreker2 [v] (TIE2),[laugh],/dutch2/DVA10O,ggg,dutch,dutch2,931,dutch-01-076-149419,laugh,NA,NA,NA,NA,NA,NA,NA,other,427,overlapped,8235,0.173770491803279,0.866477272727273,2,6,0.333333333333333,2,NA,NA
149431,150927,spreker1 [v] (TIE0),en toen was m'n moeder vet ongerust geworden,/dutch2/DVA10O,en toen was m'n moeder vet ongerust geworden,dutch,dutch2,1496,dutch-01-077-149431,talk,en toen was m'n moeder vet ongerust geworden,8,44,1,205,1.5556098217596995e-10,partial,other,-919,NA,9731,0.852944198951804,0.965281222100982,3,7,0.714285714285714,2,99,68
150927,152536,spreker1 [v] (TIE0),had ze wel vijf keer gebeld of zo,/dutch2/DVA10O,had ze wel vijf keer gebeld of zo,dutch,dutch2,1609,dutch-01-078-150927,talk,had ze wel vijf keer gebeld of zo,8,33,1,205,1.5556098217596995e-10,NA,self,NA,NA,10840,0.914114391143911,0.98411257376305,2,7,0.857142857142857,2,99,68
153165,153862,spreker1 [v] (TIE0),en uhm,/dutch2/DVA10O,en uhm,dutch,dutch2,697,dutch-01-079-153165,talk,en uhm,2,6,998,23,1.5524986021161806e-07,NA,self,NA,NA,9200,0.898804347826087,0.985327192888508,2,6,0.833333333333333,2,19,82
154225,156317.99999999997,spreker1 [v] (TIE0),maar toen uhm liep ik naar de,/dutch2/DVA10O,maar toen uhm liep ik naar de,dutch,dutch2,2092.999999999971,dutch-01-080-154225,talk,maar toen uhm liep ik naar de,7,29,1,205,1.5556098217596995e-10,NA,self,NA,NA,11292,0.91755224938009206,0.957517171203256,2,7,0.857142857142857,2,99,68
